ProductNo,ProductName,TotalRevenue,TotalQuantity,Category,RevenuePct
20719,Woodland Charlotte Bag,146816.65,13126,A - Best Sellers (Top 80% Revenue),0.2418502193109185
71459,Hanging Jam Jar T-Light Holders,146576.96,13361,A - Best Sellers (Top 80% Revenue),0.2414553793587289
79321,Chilli Lights,145724.58,10169,A - Best Sellers (Top 80% Revenue),0.24005125870935948
22969,Homemade Jam Scented Candles,145115.21,12478,A - Best Sellers (Top 80% Revenue),0.23904744702899833
21080,Set/20 Red Retrospot Paper Napkins,142828.51,13060,A - Best Sellers (Top 80% Revenue),0.23528057933042143
21181,Please One Person Metal Sign,142746.72,12256,A - Best Sellers (Top 80% Revenue),0.2351458471359636
84568,Girls Alphabet Iron On Patches,141999.04,13851,A - Best Sellers (Top 80% Revenue),0.23391419819168935
84978,Hanging Heart Jar T-Light Holder,141724.22999999998,12428,A - Best Sellers (Top 80% Revenue),0.23346150526640574
22993,Set Of 4 Pantry Jelly Moulds,141543.43,12654,A - Best Sellers (Top 80% Revenue),0.23316367447097885
21137,Black Record Cover Frame,140867.13,11362,A - Best Sellers (Top 80% Revenue),0.23204960938830618
84992,72 Sweetheart Fairy Cake Cases,140034.8,13212,A - Best Sellers (Top 80% Revenue),0.23067851698809777
22630,Dolly Girl Lunch Box,139738.97,11771,A - Best Sellers (Top 80% Revenue),0.2301911979382574
16014,Small Chinese Style Scissor,137920.04,13268,A - Best Sellers (Top 80% Revenue),0.22719488505813645
22659,Lunch Box I Love London,136010.69,11446,A - Best Sellers (Top 80% Revenue),0.22404962383441762
21232,Strawberry Ceramic Trinket Pot,133275.91,11840,A - Best Sellers (Top 80% Revenue),0.2195446365406256
22386,Jumbo Bag Pink Polkadot,131602.53,21434,A - Best Sellers (Top 80% Revenue),0.21678808733458863
21975,Pack Of 60 Dinosaur Cake Cases,130736.36,12265,A - Best Sellers (Top 80% Revenue),0.21536125049789098
22998,Travel Card Wallet Keep Calm,129861.18999999999,12315,A - Best Sellers (Top 80% Revenue),0.21391958801319097
23298,Spotty Bunting,127697.23,8450,A - Best Sellers (Top 80% Revenue),0.21035490920748293
22699,Roses Regency Teacup And Saucer,126925.2,9842,A - Best Sellers (Top 80% Revenue),0.2090831486488909
23203,Jumbo Bag Vintage Doily,126572.18000000001,20416,A - Best Sellers (Top 80% Revenue),0.2085016208424661
23307,Set Of 60 Pantry Design Cake Cases,125863.36,12031,A - Best Sellers (Top 80% Revenue),0.20733398575167794
22470,Heart Of Wicker Large,124951.73,9883,A - Best Sellers (Top 80% Revenue),0.20583226291962575
22910,Paper Chain Kit Vintage Christmas,124903.76,10371,A - Best Sellers (Top 80% Revenue),0.2057532422157727
20971,Pink Blue Felt Craft Trinket Box,123813.31999999999,10948,A - Best Sellers (Top 80% Revenue),0.20395696670379637
23310,Bubblegum Ring Assorted,122024.54000000001,11974,A - Best Sellers (Top 80% Revenue),0.20101031974448366
22960,Jam Making Set With Jars,121170.69,8690,A - Best Sellers (Top 80% Revenue),0.1996037775726072
21108,Fairy Cake Flannel Assorted Colour,120193.27,10226,A - Best Sellers (Top 80% Revenue),0.19799367925365713
20668,Disco Ball Christmas Decoration,119945.65999999999,12836,A - Best Sellers (Top 80% Revenue),0.19758579273122537
21166,Cook With Wine Metal Sign,118747.89,10361,A - Best Sellers (Top 80% Revenue),0.19561271313034878
20725,Lunch Bag Red Retrospot,118420.12999999999,19508,A - Best Sellers (Top 80% Revenue),0.19507279597598415
23077,Doughnut Lip Gloss,113807.29,10352,A - Best Sellers (Top 80% Revenue),0.1874740912946951
22457,Natural Slate Heart Chalkboard,113696.47,9110,A - Best Sellers (Top 80% Revenue),0.18729153814895833
82482,Wooden Picture Frame White Finish,112956.7,8991,A - Best Sellers (Top 80% Revenue),0.18607291930198397
22720,Set Of 3 Cake Tins Pantry Design,111911.3,7454,A - Best Sellers (Top 80% Revenue),0.18435083792178877
84945,Multi Colour Silver T-Light Holder,111759.59,10515,A - Best Sellers (Top 80% Revenue),0.1841009269152942
21326,Aged Glass Silver T-Light Holder,111044.76,10559,A - Best Sellers (Top 80% Revenue),0.18292339158622886
21498,Red Retrospot Wrap,109289.18,10501,A - Best Sellers (Top 80% Revenue),0.1800314347951029
22077,6 Ribbons Rustic Charm,108626.87,9176,A - Best Sellers (Top 80% Revenue),0.17894041535860292
84347,Rotating Silver Angels T-Light Hldr,108529.98,9393,A - Best Sellers (Top 80% Revenue),0.1787808090213855
84212,"Assorted Flower Colour ""Leis""",108380.4,10315,A - Best Sellers (Top 80% Revenue),0.17853440675158483
20723,Strawberry Charlotte Bag,108174.05,9734,A - Best Sellers (Top 80% Revenue),0.17819448758877324
22326,Round Snack Boxes Set Of4 Woodland,107872.56,8501,A - Best Sellers (Top 80% Revenue),0.1776978448536335
22356,Charlotte Bag Pink Polkadot,106050.36,9639,A - Best Sellers (Top 80% Revenue),0.174696145321405
22666,Recipe Box Pantry Yellow Design,105739.71,8230,A - Best Sellers (Top 80% Revenue),0.17418441337118729
85099F,Jumbo Bag Strawberry,105547.22,17298,A - Best Sellers (Top 80% Revenue),0.1738673257062994
22189,Cream Heart Card Holder,105456.09999999999,8276,A - Best Sellers (Top 80% Revenue),0.17371722425674574
22577,Wooden Heart Christmas Scandinavian,102783.39,10510,A - Best Sellers (Top 80% Revenue),0.1693144845153439
22727,Alarm Clock Bakelike Red,100843.22,7766,A - Best Sellers (Top 80% Revenue),0.1661184536836878
22489,Pack Of 12 Traditional Crayons,99977.1,9618,A - Best Sellers (Top 80% Revenue),0.16469169921170132
22558,Clothes Pegs Retrospot Pack 24,99953.39,8684,A - Best Sellers (Top 80% Revenue),0.16465264186568598
22090,Paper Bunting Retrospot,99529.29,7548,A - Best Sellers (Top 80% Revenue),0.16395402438592627
22988,Soldiers Egg Cup,99526.9,8983,A - Best Sellers (Top 80% Revenue),0.16395008735273453
22610,Pens Assorted Funny Face,99057.31999999999,9608,A - Best Sellers (Top 80% Revenue),0.1631765509317358
84970S,Hanging Heart Zinc T-Light Holder,98792.14,9127,A - Best Sellers (Top 80% Revenue),0.16273972144981486
21733,Red Hanging Heart T-Light Holder,98712.45,7801,A - Best Sellers (Top 80% Revenue),0.16260844857322432
22578,Wooden Star Christmas Scandinavian,97845.91,10332,A - Best Sellers (Top 80% Revenue),0.1611810022376644
23301,Gardeners Kneeling Pad Keep Calm,97384.06999999999,8766,A - Best Sellers (Top 80% Revenue),0.16042021587394778
21703,Bag 125g Swirly Marbles,96952.79,9351,A - Best Sellers (Top 80% Revenue),0.15970977082167057
22467,Gumball Coat Rack,96207.24,7862,A - Best Sellers (Top 80% Revenue),0.15848163061409024
84947,Antique Silver Tea Glass Engraved,96057.14,8682,A - Best Sellers (Top 80% Revenue),0.15823437175129387
21094,Set/6 Red Spotty Paper Plates,95857.99,8724,A - Best Sellers (Top 80% Revenue),0.15790631310688422
22865,Hand Warmer Owl Design,94891.04000000001,8384,A - Best Sellers (Top 80% Revenue),0.15631346195844367
22909,Set Of 20 Vintage Christmas Napkins,94756.94,8895,A - Best Sellers (Top 80% Revenue),0.15609255980320724
22697,Green Regency Teacup And Saucer,94432.15,7288,A - Best Sellers (Top 80% Revenue),0.1555575351126834
85152,Hand Over The Chocolate Sign,93310.96,8220,A - Best Sellers (Top 80% Revenue),0.15371060530336542
82484,Wood Black Board Ant White Finish,93111.22,6007,A - Best Sellers (Top 80% Revenue),0.15338157475536446
22551,Plasters In Tin Spaceboy,92864.67,8030,A - Best Sellers (Top 80% Revenue),0.15297543436480857
23199,Jumbo Bag Apples,92084.15000000001,14909,A - Best Sellers (Top 80% Revenue),0.1516896882782676
23245,Set Of 3 Regency Cake Tins,92011.38,6331,A - Best Sellers (Top 80% Revenue),0.1515698146776967
22741,Funky Diva Pen,91739.88,8492,A - Best Sellers (Top 80% Revenue),0.15112257429628959
21985,Pack Of 12 Hearts Design Tissues,91716.0,8764,A - Best Sellers (Top 80% Revenue),0.1510832369102564
22554,Plasters In Tin Woodland Animals,90469.95999999999,7801,A - Best Sellers (Top 80% Revenue),0.14903064241726002
21787,Rain Poncho Retrospot,90451.45999999999,8828,A - Best Sellers (Top 80% Revenue),0.14900016747414388
23232,Wrap Vintage Leaf Design,90260.68,8626,A - Best Sellers (Top 80% Revenue),0.1486858966823765
23076,Ice Cream Sundae Lip Gloss,90231.34,8072,A - Best Sellers (Top 80% Revenue),0.1486375650698885
84826,Asstd Design 3d Paper Stickers,89577.84,13705,A - Best Sellers (Top 80% Revenue),0.14756105829548874
16045,Popart Wooden Pencils Asst,89534.0,8900,A - Best Sellers (Top 80% Revenue),0.14748884091677458
82494L,Wooden Frame Antique White,89380.73,6999,A - Best Sellers (Top 80% Revenue),0.14723636013129293
23284,Doormat Keep Calm And Come In,89237.3,5421,A - Best Sellers (Top 80% Revenue),0.14700008872096065
23293,Set Of 12 Fairy Cake Baking Cases,89031.11,8408,A - Best Sellers (Top 80% Revenue),0.14666043312522462
21497,Fancy Fonts Birthday Wrap,88930.5,8550,A - Best Sellers (Top 80% Revenue),0.1464946988534995
21891,Traditional Wooden Skipping Rope,88891.01,7999,A - Best Sellers (Top 80% Revenue),0.1464296472046532
82583,Hot Baths Metal Sign,88750.36,7252,A - Best Sellers (Top 80% Revenue),0.14619795527225943
22417,Pack Of 60 Spaceboy Cake Cases,88722.12,8401,A - Best Sellers (Top 80% Revenue),0.1461514356834162
21791,Vintage Heads And Tails Card Game,87969.19,7857,A - Best Sellers (Top 80% Revenue),0.1449111384444738
22791,T-Light Glass Fluted Antique,87403.67,7921,A - Best Sellers (Top 80% Revenue),0.14397956061576903
22726,Alarm Clock Bakelike Green,87103.1,6382,A - Best Sellers (Top 80% Revenue),0.14348443339131403
22328,Round Snack Boxes Set Of 4 Fruits,86975.39,6844,A - Best Sellers (Top 80% Revenue),0.14327405744615931
85099C,Jumbo Bag Baroque Black White,85804.7,13911,A - Best Sellers (Top 80% Revenue),0.14134558657282784
23204,Charlotte Bag Apples Design,85662.79,7907,A - Best Sellers (Top 80% Revenue),0.14111181904971373
22029,Spaceboy Birthday Card,84898.70999999999,8168,A - Best Sellers (Top 80% Revenue),0.13985315448019053
22560,Traditional Modelling Clay,84872.29,8085,A - Best Sellers (Top 80% Revenue),0.13980963296683224
22379,Recycling Bag Retrospot,84757.25,6893,A - Best Sellers (Top 80% Revenue),0.13962012823947656
22112,Chocolate Hot Water Bottle,84584.54,5920,A - Best Sellers (Top 80% Revenue),0.13933562405430963
23309,Set Of 60 I Love London Cake Cases,84517.42,8329,A - Best Sellers (Top 80% Revenue),0.13922505766609583
22722,Set Of 6 Spice Tins Pantry Design,84239.91,5958,A - Best Sellers (Top 80% Revenue),0.13876791704641153
23230,Wrap Alphabet Design,84119.68,7976,A - Best Sellers (Top 80% Revenue),0.13856986286204107
21914,Blue Harmonica In Box,83991.2,7726,A - Best Sellers (Top 80% Revenue),0.13835821850033506
71477,Coloured Glass Star T-Light Holder,83883.53,6669,A - Best Sellers (Top 80% Revenue),0.13818085433139912
84692,Box Of 24 Cocktail Parasols,83411.08,7844,A - Best Sellers (Top 80% Revenue),0.13740259017598186
23201,Jumbo Bag Alphabet,82819.11,13346,A - Best Sellers (Top 80% Revenue),0.1364274414150921
22966,Gingerbread Man Cookie Cutter,82263.04,7443,A - Best Sellers (Top 80% Revenue),0.13551143051678988
20972,Pink Cream Felt Craft Trinket Box,82170.95999999999,7308,A - Best Sellers (Top 80% Revenue),0.13535974766478262
20914,Set/5 Red Retrospot Lid Glass Bowls,81096.65,6349,A - Best Sellers (Top 80% Revenue),0.13359004300861513
23170,Regency Tea Plate Roses,80221.66,6827,A - Best Sellers (Top 80% Revenue),0.13214867703687516
22951,60 Cake Cases Dolly Girl Design,79916.79,7490,A - Best Sellers (Top 80% Revenue),0.1316464664472634
22114,Hot Water Bottle Tea And Sympathy,79518.31999999999,5653,A - Best Sellers (Top 80% Revenue),0.13099006911842623
23209,Lunch Bag Vintage Doily,78669.14,13152,A - Best Sellers (Top 80% Revenue),0.12959121981056884
21982,Pack Of 12 Suki Tissues,78657.81,7540,A - Best Sellers (Top 80% Revenue),0.12957255596702796
21086,Set/6 Red Spotty Paper Cups,77343.91,7107,A - Best Sellers (Top 80% Revenue),0.12740817608809316
21930,Jumbo Storage Bag Skulls,77110.24,6402,A - Best Sellers (Top 80% Revenue),0.12702325284712299
75049L,Large Circular Mirror Mobile,76813.28,7114,A - Best Sellers (Top 80% Revenue),0.12653407235481118
23300,Gardeners Kneeling Pad Cup Of Tea,76392.79,6750,A - Best Sellers (Top 80% Revenue),0.12584140160719468
23078,Ice Cream Pen Lip Gloss,76107.93,6785,A - Best Sellers (Top 80% Revenue),0.12537215337497506
23355,Hot Water Bottle Keep Calm,76084.91,5698,A - Best Sellers (Top 80% Revenue),0.12533423266197324
22740,Polkadot Pen,76064.34,6842,A - Best Sellers (Top 80% Revenue),0.12530034781981655
23231,Wrap Vintage Doily,76033.61,7252,A - Best Sellers (Top 80% Revenue),0.12524972646835933
21918,Set 12 Kids Colour Chalk Sticks,75968.28,7194,A - Best Sellers (Top 80% Revenue),0.12514210873680376
20974,12 Pencils Small Tube Skull,75912.84,6959,A - Best Sellers (Top 80% Revenue),0.12505078274510872
16161P,Wrap English Rose,75887.18,7176,A - Best Sellers (Top 80% Revenue),0.1250085131753595
22383,Lunch Bag Suki Design,75883.86,12532,A - Best Sellers (Top 80% Revenue),0.12500304415854083
22771,Clear Drawer Knob Acrylic Edwardian,75883.59,6621,A - Best Sellers (Top 80% Revenue),0.12500259938910074
22866,Hand Warmer Scotty Dog Design,75817.71,6596,A - Best Sellers (Top 80% Revenue),0.12489407564572287
22149,Feltcraft 6 Flower Friends,74988.75,6078,A - Best Sellers (Top 80% Revenue),0.12352853462704427
21121,Set/10 Red Polkadot Party Candles,74677.0,6585,A - Best Sellers (Top 80% Revenue),0.12301499065318178
22698,Pink Regency Teacup And Saucer,74624.68,5805,A - Best Sellers (Top 80% Revenue),0.12292880421946087
20727,Lunch Bag Black Skull,73939.05,12179,A - Best Sellers (Top 80% Revenue),0.12179936988169235
22595,Gingham Heart Decoration,73744.49,6752,A - Best Sellers (Top 80% Revenue),0.12147887231776394
22867,Hand Warmer Bird Design,73042.57,6358,A - Best Sellers (Top 80% Revenue),0.12032260355711095
84997D,Childrens Cutlery Polkadot Pink,73036.62,5388,A - Best Sellers (Top 80% Revenue),0.12031280215648711
23206,Lunch Bag Apple Design,72985.81999999999,12152,A - Best Sellers (Top 80% Revenue),0.12022911960998442
23171,Regency Tea Plate Green,72860.46,6215,A - Best Sellers (Top 80% Revenue),0.12002261480625259
22147,Feltcraft Butterfly Hearts,72478.23999999999,6226,A - Best Sellers (Top 80% Revenue),0.11939298600853092
22728,Alarm Clock Bakelike Pink,72380.53,5336,A - Best Sellers (Top 80% Revenue),0.11923202889005105
21829,Dinosaur Keyrings Assorted,71991.04000000001,6873,A - Best Sellers (Top 80% Revenue),0.1185904242633319
22907,Pack Of 20 Napkins Pantry Design,71917.95999999999,6586,A - Best Sellers (Top 80% Revenue),0.11847004000155202
20728,Lunch Bag Cars Blue,71693.67,11757,A - Best Sellers (Top 80% Revenue),0.11810056838038885
22418,10 Colour Spaceboy Pen,71517.86,6529,A - Best Sellers (Top 80% Revenue),0.1178109575831322
21889,Wooden Box Of Dominoes,71081.73999999999,6345,A - Best Sellers (Top 80% Revenue),0.11709253962681809
23243,Set Of Tea Coffee Sugar Tins Pantry,70665.31999999999,4789,A - Best Sellers (Top 80% Revenue),0.11640657336668718
21499,Blue Polkadot Wrap,70489.11,6677,A - Best Sellers (Top 80% Revenue),0.11611630365174151
21980,Pack Of 12 Red Retrospot Tissues,70464.86,6719,A - Best Sellers (Top 80% Revenue),0.11607635676684604
22556,Plasters In Tin Circus Parade,70314.73,6109,A - Best Sellers (Top 80% Revenue),0.11582904848522302
20713,Jumbo Bag Owls,70253.21,11391,A - Best Sellers (Top 80% Revenue),0.1157277069446552
20975,12 Pencils Small Tube Red Retrospot,69805.01,6614,A - Best Sellers (Top 80% Revenue),0.11498938967413339
22555,Plasters In Tin Strongman,69634.89,6005,A - Best Sellers (Top 80% Revenue),0.11470915198100273
22138,Baking Set 9 Piece Retrospot,69496.05,4849,A - Best Sellers (Top 80% Revenue),0.11448044165115166
84970L,Single Heart Zinc T-Light Holder,69321.69,6253,A - Best Sellers (Top 80% Revenue),0.1141932194305176
22621,Traditional Knitting Nancy,69114.79,6093,A - Best Sellers (Top 80% Revenue),0.11385239425588362
22045,Spaceboy Gift Wrap,68903.36,6527,A - Best Sellers (Top 80% Revenue),0.11350410683842171
22585,Pack Of 6 Birdy Gift Tags,68901.91,6216,A - Best Sellers (Top 80% Revenue),0.11350171826179911
22084,Paper Chain Kit Empire,68582.13,5188,A - Best Sellers (Top 80% Revenue),0.11297494651533
21929,Jumbo Bag Pink Vintage Paisley,68285.29000000001,10988,A - Best Sellers (Top 80% Revenue),0.11248596369832489
15034,Paper Pocket Traveling Fan,68153.68000000001,6591,A - Best Sellers (Top 80% Revenue),0.11226916330570244
20685,Doormat Red Retrospot,68148.63,4058,A - Best Sellers (Top 80% Revenue),0.11226084446987886
22065,Christmas Pudding Trinket Pot,68010.12000000001,6686,A - Best Sellers (Top 80% Revenue),0.11203267774712122
21171,Bathroom Metal Sign,67586.62,6313,A - Best Sellers (Top 80% Revenue),0.111335048643895
23202,Jumbo Bag Vintage Leaf,67477.92,10929,A - Best Sellers (Top 80% Revenue),0.11115598776190992
84836,Zinc Metal Heart Decoration,67423.18,5922,A - Best Sellers (Top 80% Revenue),0.1110658148761706
82600,N0 Singing Metal Sign,67395.99,5965,A - Best Sellers (Top 80% Revenue),0.111021024946261
84378,Set Of 3 Heart Cookie Cutters,66953.98,6267,A - Best Sellers (Top 80% Revenue),0.11029290442697642
21231,Sweetheart Ceramic Trinket Box,66885.59,5984,A - Best Sellers (Top 80% Revenue),0.11018024597510005
22561,Wooden School Colouring Set,66582.85,5816,A - Best Sellers (Top 80% Revenue),0.10968154412218227
22111,Scottie Dog Hot Water Bottle,66327.89,4637,A - Best Sellers (Top 80% Revenue),0.10926154998721518
72741,Grand Chocolatecandle,66323.56999999999,5894,A - Best Sellers (Top 80% Revenue),0.109254433676174
21210,Set Of 72 Retrospot Paper Doilies,65978.64,5775,A - Best Sellers (Top 80% Revenue),0.10868623248000917
84380,Set Of 3 Butterfly Cookie Cutters,65829.4,5761,A - Best Sellers (Top 80% Revenue),0.10844039029024417
84029E,Red Woolly Hottie White Heart,65786.84,4721,A - Best Sellers (Top 80% Revenue),0.10837028144813482
23295,Set Of 12 Mini Loaf Baking Cases,65592.02,6118,A - Best Sellers (Top 80% Revenue),0.10804935558770855
21500,Pink Polkadot Wrap,65247.5,6250,A - Best Sellers (Top 80% Revenue),0.10748182978217494
15056N,Edwardian Parasol Natural,65214.770000000004,4093,A - Best Sellers (Top 80% Revenue),0.10742791384227271
22139,Retrospot Tea Set Ceramic 11 Pc,64700.28,4466,A - Best Sellers (Top 80% Revenue),0.10658039743774178
23344,Jumbo Bag 50'S Christmas,64551.200000000004,10176,A - Best Sellers (Top 80% Revenue),0.1063348188150524
21928,Jumbo Bag Scandinavian Blue Paisley,64225.380000000005,10421,A - Best Sellers (Top 80% Revenue),0.10579809741147941
84997B,Childrens Cutlery Retrospot Red,64199.97,4548,A - Best Sellers (Top 80% Revenue),0.10575623966528583
22900,Set 2 Tea Towels I Love London,64023.83,4915,A - Best Sellers (Top 80% Revenue),0.10546608526093575
23308,Set Of 60 Vintage Leaf Cake Cases,63662.25,6126,A - Best Sellers (Top 80% Revenue),0.10487045661596638
21668,Red Stripe Ceramic Drawer Knob,63637.67999999999,5514,A - Best Sellers (Top 80% Revenue),0.10482998259691968
22759,Set Of 3 Notebooks In Parcel,63595.15,5406,A - Best Sellers (Top 80% Revenue),0.10475992317363703
22440,Balloon Water Bomb Pack Of 35,63545.619999999995,6034,A - Best Sellers (Top 80% Revenue),0.10467833269079689
48138,Doormat Union Flag,62869.74,3728,A - Best Sellers (Top 80% Revenue),0.10356495947169769
22382,Lunch Bag Spaceboy Design,62804.27,10420,A - Best Sellers (Top 80% Revenue),0.103457111118951
22384,Lunch Bag Pink Polkadot,62725.35,10480,A - Best Sellers (Top 80% Revenue),0.10332710665891177
22294,Heart Filigree Dove Small,62542.03999999999,5534,A - Best Sellers (Top 80% Revenue),0.10302514115498641
23205,Charlotte Bag Vintage Alphabet,62314.06,5828,A - Best Sellers (Top 80% Revenue),0.10264959101814224
48187,Doormat New England,62134.42,3814,A - Best Sellers (Top 80% Revenue),0.10235367108401341
21877,Home Sweet Home Mug,62093.5,5418,A - Best Sellers (Top 80% Revenue),0.10228626380442897
22992,Revolver Wooden Ruler,61430.68,5224,A - Best Sellers (Top 80% Revenue),0.10119440424787551
23167,Small Ceramic Top Storage Jar,61387.630000000005,5738,A - Best Sellers (Top 80% Revenue),0.10112348823159716
20712,Jumbo Bag Woodland Animals,61356.56,9771,A - Best Sellers (Top 80% Revenue),0.10107230680010426
48185,Doormat Fairy Cake,61015.39,3617,A - Best Sellers (Top 80% Revenue),0.100510299430216
21495,Skulls And Crossbones Wrap,60816.5,5800,A - Best Sellers (Top 80% Revenue),0.10018266908230417
22652,Travel Sewing Kit,60812.2,5075,A - Best Sellers (Top 80% Revenue),0.10017558571714744
21871,Save The Planet Mug,60803.79,5379,A - Best Sellers (Top 80% Revenue),0.10016173197273628
21669,Blue Stripe Ceramic Drawer Knob,60791.159999999996,5283,A - Best Sellers (Top 80% Revenue),0.10014092664670617
22609,Pens Assorted Spaceball,60759.43,5946,A - Best Sellers (Top 80% Revenue),0.10008865800102645
22950,36 Doilies Vintage Christmas,60721.52,5210,A - Best Sellers (Top 80% Revenue),0.1000262090770517
18007,Essential Balm 35g Tin In Envelope,60706.89,5884,A - Best Sellers (Top 80% Revenue),0.1000021091625766
16156S,Wrap Pink Fairy Cakes,60698.75,5775,A - Best Sellers (Top 80% Revenue),0.09998870018760551
22188,Black Heart Card Holder,60366.799999999996,4870,A - Best Sellers (Top 80% Revenue),0.09944188087044864
21122,Set/10 Pink Polkadot Party Candles,60073.10999999999,5307,A - Best Sellers (Top 80% Revenue),0.09895808703024438
20726,Lunch Bag Woodland,60056.03,9885,A - Best Sellers (Top 80% Revenue),0.09892995124492418
22083,Paper Chain Kit Retrospot,59780.3,4653,A - Best Sellers (Top 80% Revenue),0.09847574280895594
40016,Chinese Dragon Paper Lanterns,58891.38,5532,A - Best Sellers (Top 80% Revenue),0.09701143002869658
21672,White Spot Red Ceramic Drawer Knob,57799.31999999999,5021,A - Best Sellers (Top 80% Revenue),0.09521248590007983
20676,Red Retrospot Bowl,57666.869999999995,5065,A - Best Sellers (Top 80% Revenue),0.09499430178031051
23240,Set Of 4 Knick Knack Tins Doily,57599.009999999995,4166,A - Best Sellers (Top 80% Revenue),0.09488251639437206
21810,Christmas Hanging Star With Bell,57366.26,5892,A - Best Sellers (Top 80% Revenue),0.0944991086640866
21981,Pack Of 12 Woodland Tissues,57327.33,5476,A - Best Sellers (Top 80% Revenue),0.09443497950000491
22834,Hand Warmer Babushka Design,57231.04,4960,A - Best Sellers (Top 80% Revenue),0.09427636153932097
22273,Feltcraft Doll Molly,57112.6,4492,A - Best Sellers (Top 80% Revenue),0.09408125601160879
48194,Doormat Hearts,56601.78,3417,A - Best Sellers (Top 80% Revenue),0.09323978517687441
22661,Charlotte Bag Dolly Girl Design,56580.439999999995,5184,A - Best Sellers (Top 80% Revenue),0.09320463191816639
23286,Blue Vintage Spot Beaker,56409.189999999995,5048,A - Best Sellers (Top 80% Revenue),0.0929225327825643
35970,Zinc Folkart Sleigh Bells,56401.46,5033,A - Best Sellers (Top 80% Revenue),0.09290979919822442
21623,Vintage Union Jack Memoboard,56211.94,3272,A - Best Sellers (Top 80% Revenue),0.09259760399717737
22983,Card Billboard Font,56078.57,5324,A - Best Sellers (Top 80% Revenue),0.09237790436672334
